Detailed Statistics Arrivals  
Destination Airport: Los Angeles, CA: Los Angeles International (LAX)
Airline: Allegiant Air (G4)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2019

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"G4","01/31/2019","0341","333NV","MFR","17:45","18:03","115","141","18","17:45","18","0","0","18","0","0"
"G4","01/31/2019","0355","336NV","MEM","22:23","22:32","259","241","9","22:19","13","0","0","0","0","0"
"G4","01/31/2019","0702","311NV","BLI","10:47","10:56","167","184","9","10:20","36","0","0","0","0","0"
"G4","01/31/2019","1360","227NV","CVG","09:02","09:46","302","311","44","09:38","8","0","35","9","0","0"
"G4","02/01/2019","0190","333NV","EUG","21:42","21:23","128","127","-19","21:10","13","0","0","0","0","0"
"G4","02/01/2019","0335","336NV","TUL","15:09","14:10","230","185","-59","13:59","11","0","0","0","0","0"
"G4","02/01/2019","0339","336NV","BOI","20:51","20:32","133","128","-19","20:24","8","0","0","0","0","0"
"G4","02/01/2019","0345","333NV","PVU","15:57","15:45","117","101","-12","15:38","7","0","0","0","0","0"
"G4","02/01/2019","1360","241NV","CVG","09:32","09:34","302","304","2","09:22","12","0","0","0","0","0"
"G4","02/02/2019","0319","317NV","SGF","20:15","04:32","224","217","497","04:25","7","497","0","0","0","0"
"G4","02/02/2019","0361","333NV","MTJ","11:38","11:29","123","133","-9","11:19","10","0","0","0","0","0"
"G4","02/03/2019","0303","317NV","OKC","13:03","12:50","185","182","-13","12:45","5","0","0","0","0","0"
"G4","02/03/2019","0341","336NV","MFR","17:45","17:41","115","114","-4","17:32","9","0","0","0","0","0"
"G4","02/03/2019","0355","317NV","MEM","22:23","23:49","259","245","86","23:42","7","86","0","0","0","0"
"G4","02/03/2019","0702","311NV","BLI","18:59","20:00","167","195","61","19:38","22","0","0","28","0","33"
"G4","02/03/2019","1360","241NV","CVG","09:02","08:41","302","283","-21","08:32","9","0","0","0","0","0"
"G4","02/04/2019","0190","317NV","EUG","21:42","21:47","128","135","5","21:33","14","0","0","0","0","0"
"G4","02/04/2019","0335","336NV","TUL","15:09","14:47","230","209","-22","14:41","6","0","0","0","0","0"
"G4","02/04/2019","0339","336NV","BOI","20:51","20:47","133","138","-4","20:33","14","0","0","0","0","0"
"G4","02/04/2019","0345","317NV","PVU","15:57","16:02","117","119","5","15:50","12","0","0","0","0","0"
"G4","02/04/2019","1360","226NV","CVG","09:32","09:24","302","294","-8","09:18","6","0","0","0","0","0"
"G4","02/06/2019","0361","317NV","MTJ","12:38","12:02","123","117","-36","11:52","10","0","0","0","0","0"
"G4","02/07/2019","0303","317NV","OKC","13:03","13:36","185","191","33","13:29","7","27","0","6","0","0"
"G4","02/07/2019","0341","336NV","MFR","17:45","17:30","115","108","-15","17:22","8","0","0","0","0","0"
"G4","02/07/2019","0355","317NV","MEM","22:23","22:45","259","258","22","22:38","7","11","0","0","0","11"
"G4","02/07/2019","0702","311NV","BLI","10:47","11:02","167","182","15","10:41","21","0","0","15","0","0"
"G4","02/07/2019","1360","226NV","CVG","09:02","09:08","302","311","6","09:00","8","0","0","0","0","0"
"G4","02/08/2019","0190","336NV","EUG","21:42","21:36","128","138","-6","21:05","31","0","0","0","0","0"
"G4","02/08/2019","0335","317NV","TUL","15:09","14:24","230","199","-45","14:14","10","0","0","0","0","0"
"G4","02/08/2019","0339","317NV","BOI","20:51","20:36","133","128","-15","20:25","11","0","0","0","0","0"
"G4","02/08/2019","0345","336NV","PVU","15:57","15:51","117","111","-6","15:43","8","0","0","0","0","0"
"G4","02/08/2019","1360","226NV","CVG","09:32","09:45","302","315","13","09:37","8","0","0","0","0","0"
"G4","02/09/2019","0319","336NV","SGF","20:15","20:26","224","240","11","20:13","13","0","0","0","0","0"
"G4","02/09/2019","0361","336NV","MTJ","11:38","11:34","123","130","-4","11:28","6","0","0","0","0","0"
"G4","02/10/2019","0303","317NV","OKC","13:03","13:00","185","194","-3","12:51","9","0","0","0","0","0"
"G4","02/10/2019","0341","336NV","MFR","17:45","21:22","115","113","217","21:09","13","2","0","0","0","215"
"G4","02/10/2019","0355","317NV","MEM","22:23","22:24","259","254","1","22:16","8","0","0","0","0","0"
"G4","02/10/2019","0702","304NV","BLI","18:59","19:20","167","190","21","19:09","11","0","21","0","0","0"
"G4","02/10/2019","1360","241NV","CVG","09:02","09:16","302","320","14","09:11","5","0","0","0","0","0"
"G4","02/11/2019","0190","336NV","EUG","21:42","21:57","128","122","15","21:45","12","0","14","0","0","1"
"G4","02/11/2019","0335","317NV","TUL","15:09","14:47","230","197","-22","14:40","7","0","0","0","0","0"
