"YEAR","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","OP_UNIQUE_CARRIER","TAIL_NUM","ORIGIN","ORIGIN_CITY_NAME","DEST","DEST_CITY_NAME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","CANCELLED","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2019,4,1,1,"AA","N993NN","ORD","Chicago, IL","LAS","Las Vegas, NV","1853",-14.00,0.00,0.00,0.00,,,,,,
2019,4,2,2,"AA","N931NN","ORD","Chicago, IL","LAS","Las Vegas, NV","1848",-17.00,0.00,0.00,0.00,,,,,,
2019,4,3,3,"AA","N861NN","ORD","Chicago, IL","LAS","Las Vegas, NV","1849",-16.00,0.00,0.00,0.00,,,,,,
2019,4,4,4,"AA","N840NN","ORD","Chicago, IL","LAS","Las Vegas, NV","1913",8.00,8.00,0.00,0.00,,,,,,
2019,4,5,5,"AA","N960AN","ORD","Chicago, IL","LAS","Las Vegas, NV","1900",-5.00,0.00,0.00,0.00,,,,,,
2019,4,6,6,"AA","N988NN","ORD","Chicago, IL","LAS","Las Vegas, NV","1829",-36.00,0.00,0.00,0.00,,,,,,
2019,4,7,7,"AA","N957AN","ORD","Chicago, IL","LAS","Las Vegas, NV","2032",87.00,87.00,1.00,0.00,39.00,34.00,14.00,0.00,0.00,
2019,4,8,1,"AA","N937AN","ORD","Chicago, IL","LAS","Las Vegas, NV","1856",-9.00,0.00,0.00,0.00,,,,,,
2019,4,9,2,"AA","N880NN","ORD","Chicago, IL","LAS","Las Vegas, NV","1904",-1.00,0.00,0.00,0.00,,,,,,
2019,4,10,3,"AA","N938NN","ORD","Chicago, IL","LAS","Las Vegas, NV","1850",-15.00,0.00,0.00,0.00,,,,,,
2019,4,11,4,"AA","N912AN","ORD","Chicago, IL","LAS","Las Vegas, NV","1912",7.00,7.00,0.00,0.00,,,,,,
2019,4,12,5,"AA","N942AN","ORD","Chicago, IL","LAS","Las Vegas, NV","1858",-7.00,0.00,0.00,0.00,,,,,,
2019,4,13,6,"AA","N306NY","ORD","Chicago, IL","LAS","Las Vegas, NV","1945",40.00,40.00,1.00,0.00,40.00,0.00,0.00,0.00,0.00,
2019,4,14,7,"AA","N933AN","ORD","Chicago, IL","LAS","Las Vegas, NV","",,,,1.00,,,,,,
2019,4,15,1,"AA","N934NN","ORD","Chicago, IL","LAS","Las Vegas, NV","",,,,1.00,,,,,,
2019,4,16,2,"AA","N966AN","ORD","Chicago, IL","LAS","Las Vegas, NV","1925",20.00,20.00,1.00,0.00,20.00,0.00,0.00,0.00,0.00,
2019,4,17,3,"AA","N942AN","ORD","Chicago, IL","LAS","Las Vegas, NV","1848",-17.00,0.00,0.00,0.00,,,,,,
2019,4,18,4,"AA","N309PC","ORD","Chicago, IL","LAS","Las Vegas, NV","1857",-8.00,0.00,0.00,0.00,,,,,,
2019,4,19,5,"AA","N934AN","ORD","Chicago, IL","LAS","Las Vegas, NV","1837",-28.00,0.00,0.00,0.00,,,,,,
2019,4,21,7,"AA","N979AN","ORD","Chicago, IL","LAS","Las Vegas, NV","1941",36.00,36.00,1.00,0.00,19.00,0.00,0.00,0.00,17.00,
2019,4,22,1,"AA","N926NN","ORD","Chicago, IL","LAS","Las Vegas, NV","1947",42.00,42.00,1.00,0.00,8.00,0.00,34.00,0.00,0.00,
