Detailed Statistics Arrivals  
Destination Airport: Los Angeles, CA: Los Angeles International (LAX)
Airline: Hawaiian Airlines Inc. (HA)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2019

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"HA","01/13/2019","0062","N215HA","KOA","23:40","23:47","315","321","7","23:40","7","0","0","0","0","0"
"HA","01/13/2019","0064","N208HA","LIH","21:40","22:05","320","345","25","21:57","8","25","0","0","0","0"
"HA","01/14/2019","0002","N388HA","HNL","23:05","23:07","320","322","2","22:45","22","0","0","0","0","0"
"HA","01/14/2019","0004","N374HA","HNL","06:35","06:17","315","306","-18","06:07","10","0","0","0","0","0"
"HA","01/14/2019","0010","N382HA","HNL","15:20","15:18","320","315","-2","15:08","10","0","0","0","0","0"
"HA","01/14/2019","0034","N391HA","OGG","22:10","21:59","300","297","-11","21:48","11","0","0","0","0","0"
"HA","01/14/2019","0062","N215HA","KOA","23:40","23:49","315","309","9","23:35","14","0","0","0","0","0"
"HA","01/14/2019","0064","N204HA","LIH","21:40","21:52","320","328","12","21:36","16","0","0","0","0","0"
"HA","01/15/2019","0002","N382HA","HNL","23:05","23:09","320","330","4","22:40","29","0","0","0","0","0"
"HA","01/15/2019","0004","N381HA","HNL","06:35","06:20","315","305","-15","06:10","10","0","0","0","0","0"
"HA","01/15/2019","0010","N360HA","HNL","15:20","15:51","320","342","31","15:32","19","31","0","0","0","0"
"HA","01/15/2019","0034","N374HA","OGG","22:10","22:05","300","302","-5","21:52","13","0","0","0","0","0"
"HA","01/15/2019","0062","N204HA","KOA","23:40","23:46","315","324","6","23:35","11","0","0","0","0","0"
"HA","01/15/2019","0064","N214HA","LIH","21:40","22:48","320","332","68","22:32","16","19","0","0","0","49"
"HA","01/16/2019","0002","N360HA","HNL","23:05","23:12","320","309","7","22:51","21","0","0","0","0","0"
"HA","01/16/2019","0004","N395HA","HNL","06:35","06:07","315","292","-28","05:55","12","0","0","0","0","0"
"HA","01/16/2019","0010","N395HA","HNL","15:20","15:27","320","317","7","15:13","14","0","0","0","0","0"
"HA","01/16/2019","0034","N381HA","OGG","22:10","22:11","300","302","1","21:54","17","0","0","0","0","0"
"HA","01/16/2019","0062","N204HA","KOA","23:40","23:26","315","307","-14","23:08","18","0","0","0","0","0"
"HA","01/16/2019","0064","","LIH","21:40","00:00","320","0","0","00:00","0","0","0","0","0","0"
"HA","01/17/2019","0002","N393HA","HNL","23:05","22:41","320","295","-24","22:27","14","0","0","0","0","0"
"HA","01/17/2019","0004","N390HA","HNL","06:35","06:07","315","291","-28","06:00","7","0","0","0","0","0"
"HA","01/17/2019","0010","N390HA","HNL","15:20","15:09","320","314","-11","15:02","7","0","0","0","0","0"
"HA","01/17/2019","0034","N395HA","OGG","22:10","21:56","300","287","-14","21:45","11","0","0","0","0","0"
"HA","01/17/2019","0062","N386HA","KOA","23:40","23:25","315","287","-15","23:16","9","0","0","0","0","0"
"HA","01/17/2019","0064","N215HA","LIH","21:40","21:54","320","306","14","21:40","14","0","0","0","0","0"
"HA","01/18/2019","0002","N380HA","HNL","23:05","22:42","320","290","-23","22:27","15","0","0","0","0","0"
"HA","01/18/2019","0004","N388HA","HNL","06:35","06:14","315","288","-21","06:04","10","0","0","0","0","0"
"HA","01/18/2019","0010","N399HA","HNL","15:20","15:50","320","285","30","15:39","11","30","0","0","0","0"
"HA","01/18/2019","0034","N390HA","OGG","22:10","22:01","300","292","-9","21:45","16","0","0","0","0","0"
"HA","01/18/2019","0062","N213HA","KOA","23:40","02:03","315","316","143","01:55","8","143","0","0","0","0"
"HA","01/18/2019","0064","N204HA","LIH","21:40","22:02","320","311","22","21:48","14","0","0","0","0","22"
"HA","01/19/2019","0002","N390HA","HNL","23:05","23:07","320","308","2","23:03","4","0","0","0","0","0"
"HA","01/19/2019","0004","N391HA","HNL","06:35","06:19","315","307","-16","06:11","8","0","0","0","0","0"
"HA","01/19/2019","0010","N374HA","HNL","15:20","17:09","320","308","109","17:02","7","109","0","0","0","0"
"HA","01/19/2019","0034","N388HA","OGG","22:10","22:13","300","302","3","22:03","10","0","0","0","0","0"
"HA","01/19/2019","0062","N204HA","KOA","23:40","23:43","315","323","3","23:28","15","0","0","0","0","0"
"HA","01/19/2019","0064","N215HA","LIH","21:40","21:47","320","320","7","21:43","4","0","0","0","0","0"
"HA","01/20/2019","0002","N388HA","HNL","23:05","23:04","320","322","-1","22:48","16","0","0","0","0","0"
"HA","01/20/2019","0004","N382HA","HNL","06:35","06:42","315","326","7","06:34","8","0","0","0","0","0"
"HA","01/20/2019","0010","N374HA","HNL","15:20","15:17","320","324","-3","15:07","10","0","0","0","0","0"
"HA","01/20/2019","0034","N391HA","OGG","22:10","22:14","300","312","4","22:02","12","0","0","0","0","0"
"HA","01/20/2019","0062","N215HA","KOA","23:40","23:54","315","336","14","23:48","6","0","0","0","0","0"
"HA","01/20/2019","0064","N214HA","LIH","21:40","22:01","320","345","21","21:51","10","21","0","0","0","0"
"HA","01/21/2019","0002","N389HA","HNL","23:05","23:10","320","325","5","22:59","11","0","0","0","0","0"
"HA","01/21/2019","0004","N386HA","HNL","06:35","06:50","315","332","15","06:40","10","15","0","0","0","0"
"HA","01/21/2019","0010","N373HA","HNL","15:20","15:41","320","336","21","15:31","10","16","0","0","0","5"
"HA","01/21/2019","0034","N382HA","OGG","22:10","22:42","300","315","32","22:30","12","32","0","0","0","0"
"HA","01/21/2019","0062","N214HA","KOA","23:40","23:55","315","331","15","23:49","6","15","0","0","0","0"
"HA","01/21/2019","0064","N204HA","LIH","21:40","22:27","320","347","47","22:16","11","45","0","0","0","2"
"HA","01/22/2019","0002","N373HA","HNL","23:05","23:13","320","328","8","23:01","12","0","0","0","0","0"
"HA","01/22/2019","0004","N381HA","HNL","06:35","06:51","315","338","16","06:38","13","16","0","0","0","0"
"HA","01/22/2019","0010","N379HA","HNL","15:20","15:48","320","340","28","15:38","10","28","0","0","0","0"
"HA","01/22/2019","0034","N386HA","OGG","22:10","22:26","300","321","16","22:15","11","16","0","0","0","0"
"HA","01/22/2019","0062","N214HA","KOA","23:40","23:52","315","338","12","23:41","11","0","0","0","0","0"
"HA","01/22/2019","0064","N215HA","LIH","21:40","22:13","320","351","33","22:06","7","33","0","0","0","0"
"HA","01/23/2019","0002","N379HA","HNL","23:05","23:09","320","327","4","22:58","11","0","0","0","0","0"
"HA","01/23/2019","0004","N399HA","HNL","06:35","06:52","315","305","17","06:43","9","17","0","0","0","0"
