"YEAR","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","OP_UNIQUE_CARRIER","TAIL_NUM","ORIGIN","ORIGIN_CITY_NAME","DEST","DEST_CITY_NAME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","CANCELLED","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2019,6,27,4,"NK","N695NK","LAS","Las Vegas, NV","PDX","Portland, OR","1030",-6.00,0.00,0.00,0.00,,,,,,
2019,6,28,5,"NK","N612NK","LAS","Las Vegas, NV","PDX","Portland, OR","1015",-21.00,0.00,0.00,0.00,,,,,,
2019,6,29,6,"NK","N646NK","LAS","Las Vegas, NV","PDX","Portland, OR","1047",11.00,11.00,0.00,0.00,,,,,,
2019,6,30,7,"NK","N635NK","LAS","Las Vegas, NV","PDX","Portland, OR","1013",-23.00,0.00,0.00,0.00,,,,,,
2019,6,1,6,"NK","N643NK","PDX","Portland, OR","LAS","Las Vegas, NV","1335",-11.00,0.00,0.00,0.00,,,,,,
2019,6,2,7,"NK","N620NK","PDX","Portland, OR","LAS","Las Vegas, NV","1328",-18.00,0.00,0.00,0.00,,,,,,
2019,6,3,1,"NK","N622NK","PDX","Portland, OR","LAS","Las Vegas, NV","1323",-23.00,0.00,0.00,0.00,,,,,,
2019,6,4,2,"NK","N655NK","PDX","Portland, OR","LAS","Las Vegas, NV","1333",-13.00,0.00,0.00,0.00,,,,,,
2019,6,5,3,"NK","N655NK","PDX","Portland, OR","LAS","Las Vegas, NV","1330",-16.00,0.00,0.00,0.00,,,,,,
2019,6,6,4,"NK","N910NK","PDX","Portland, OR","LAS","Las Vegas, NV","1338",-8.00,0.00,0.00,0.00,,,,,,
2019,6,7,5,"NK","N638NK","PDX","Portland, OR","LAS","Las Vegas, NV","1339",-7.00,0.00,0.00,0.00,,,,,,
