Detailed Statistics Arrivals  
Destination Airport: Los Angeles, CA: Los Angeles International (LAX)
Airline: Frontier Airlines Inc. (F9)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2019

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"F9","02/17/2019","1515","N322FR","ATL","11:26","12:07","313","361","41","11:53","14","0","0","41","0","0"
"F9","02/18/2019","0409","N938FR","DEN","23:52","00:13","162","174","21","23:45","28","0","9","12","0","0"
"F9","02/19/2019","0403","N213FR","DEN","09:44","09:23","167","152","-21","09:17","6","0","0","0","0","0"
"F9","02/19/2019","0409","N338FR","DEN","23:52","23:50","162","144","-2","23:43","7","0","0","0","0","0"
"F9","02/19/2019","1515","N346FR","ATL","11:26","11:06","313","296","-20","10:58","8","0","0","0","0","0"
"F9","02/20/2019","0409","N938FR","DEN","23:52","23:30","162","149","-22","23:19","11","0","0","0","0","0"
"F9","02/21/2019","0403","N207FR","DEN","09:44","09:27","167","152","-17","09:21","6","0","0","0","0","0"
"F9","02/21/2019","0409","N949FR","DEN","23:52","23:26","162","140","-26","23:14","12","0","0","0","0","0"
"F9","02/21/2019","1515","N329FR","ATL","11:26","11:53","313","341","27","11:47","6","0","0","27","0","0"
"F9","02/22/2019","0409","N949FR","DEN","23:52","00:25","162","183","33","00:17","8","12","0","21","0","0"
"F9","02/23/2019","0409","N943FR","DEN","23:52","23:29","162","152","-23","23:19","10","0","0","0","0","0"
"F9","02/24/2019","0403","N334FR","DEN","09:44","09:52","167","155","8","09:40","12","0","0","0","0","0"
"F9","02/24/2019","0409","N949FR","DEN","23:52","23:46","162","146","-6","23:35","11","0","0","0","0","0"
"F9","02/24/2019","1515","N332FR","ATL","11:26","11:24","313","317","-2","11:12","12","0","0","0","0","0"
"F9","02/25/2019","0409","N910FR","DEN","23:52","23:29","162","151","-23","23:22","7","0","0","0","0","0"
"F9","02/26/2019","0403","N301FR","DEN","09:44","09:39","167","164","-5","09:30","9","0","0","0","0","0"
"F9","02/26/2019","0409","N938FR","DEN","23:52","23:50","162","143","-2","23:40","10","0","0","0","0","0"
"F9","02/26/2019","1515","N338FR","ATL","11:26","11:51","313","301","25","11:35","16","0","0","0","0","25"
"F9","02/27/2019","0409","N943FR","DEN","23:52","23:27","162","147","-25","23:17","10","0","0","0","0","0"
"F9","02/28/2019","0403","N305FR","DEN","09:44","09:48","167","153","4","09:40","8","0","0","0","0","0"
"F9","02/28/2019","0409","N949FR","DEN","23:52","23:48","162","162","-4","23:39","9","0","0","0","0","0"
"F9","02/28/2019","1515","N232FR","ATL","11:26","11:06","313","302","-20","10:58","8","0","0","0","0","0"
"F9","03/01/2019","0409","N941FR","DEN","23:45","23:41","161","159","-4","23:32","9","0","0","0","0","0"
"F9","03/02/2019","0409","N939FR","DEN","23:45","00:10","161","183","25","23:59","11","0","3","22","0","0"
"F9","03/03/2019","0403","N303FR","DEN","09:45","12:07","165","180","142","11:54","13","127","0","15","0","0"
"F9","03/03/2019","0409","N938FR","DEN","23:45","23:37","161","157","-8","23:27","10","0","0","0","0","0"
"F9","03/03/2019","1515","N346FR","ATL","11:24","12:04","313","353","40","11:38","26","0","0","40","0","0"
"F9","03/04/2019","0409","N949FR","DEN","23:45","23:22","161","148","-23","23:14","8","0","0","0","0","0"
"F9","03/05/2019","0403","N236FR","DEN","09:45","09:32","165","159","-13","09:21","11","0","0","0","0","0"
"F9","03/05/2019","0409","N910FR","DEN","23:45","00:14","161","191","29","00:06","8","0","0","29","0","0"
"F9","03/05/2019","1515","N324FR","ATL","11:24","14:14","313","325","170","14:01","13","158","0","12","0","0"
"F9","03/06/2019","0409","N938FR","DEN","23:45","23:47","161","172","2","23:36","11","0","0","0","0","0"
"F9","03/07/2019","0403","N303FR","DEN","09:45","10:07","165","170","22","09:57","10","0","0","16","0","6"
"F9","03/07/2019","0409","N322FR","DEN","23:45","23:57","161","180","12","23:51","6","0","0","0","0","0"
"F9","03/07/2019","1515","N301FR","ATL","11:24","11:10","313","306","-14","11:04","6","0","0","0","0","0"
"F9","03/08/2019","0409","N322FR","DEN","23:45","23:52","161","155","7","23:40","12","0","0","0","0","0"
"F9","03/09/2019","0409","N949FR","DEN","23:45","23:43","161","159","-2","23:35","8","0","0","0","0","0"
"F9","03/10/2019","0403","N330FR","DEN","09:45","10:14","165","168","29","09:57","17","7","0","22","0","0"
"F9","03/10/2019","0409","N939FR","DEN","23:45","00:21","161","162","36","23:57","24","35","0","1","0","0"
