"BET", Bethel, AK: Bethel Airport (BET)
"BIL", Billings, MT: Billings Logan International (BIL)
"BGM", Binghamton, NY: Greater Binghamton/Edwin A. Link Field (BGM)
"BHM", Birmingham, AL: Birmingham-Shuttlesworth International (BHM)
"BIS", Bismarck/Mandan, ND: Bismarck Municipal (BIS)
"BMI", Bloomington/Normal, IL: Central Il Regional Airport at Bloomington (BMI)
"BOI", Boise, ID: Boise Air Terminal (BOI)
"BOS", Boston, MA: Logan International (BOS)
"BZN", Bozeman, MT: Bozeman Yellowstone International (BZN)
"BRD", Brainerd, MN: Brainerd Lakes Regional (BRD)
"BKG", Branson, MO: Branson Airport (BKG)
"TRI", Bristol/Johnson City/Kingsport, TN: Tri Cities (TRI)
"BRO", Brownsville, TX: Brownsville South Padre Island International (BRO)
"BQK", Brunswick, GA: Brunswick Golden Isles (BQK)
"BUF", Buffalo, NY: Buffalo Niagara International (BUF)
"IFP", Bullhead City, AZ: Laughlin/Bullhead International (IFP)
"BUR", Burbank, CA: Bob Hope (BUR)
"BTV", Burlington, VT: Burlington International (BTV)
"BTM", Butte, MT: Bert Mooney (BTM)
"CGI", Cape Girardeau, MO: Cape Girardeau Regional (CGI)
"CLD", Carlsbad, CA: McClellan-Palomar (CLD)
"CPR", Casper, WY: Casper/Natrona County International (CPR)
"CDC", Cedar City, UT: Cedar City Regional (CDC)
"CID", Cedar Rapids/Iowa City, IA: The Eastern Iowa (CID)
"CMI", Champaign/Urbana, IL: University of Illinois/Willard (CMI)
"CHS", Charleston, SC: Charleston AFB/International (CHS)
"CRW", Charleston/Dunbar, WV: Yeager (CRW)
"STT", Charlotte Amalie, VI: Cyril E King (STT)
"CLT", Charlotte, NC: Charlotte Douglas International (CLT)
"CHO", Charlottesville, VA: Charlottesville Albemarle (CHO)
"CHA", Chattanooga, TN: Lovell Field (CHA)
"CYS", Cheyenne, WY: Cheyenne Regional/Jerry Olson Field (CYS)
"MDW", Chicago, IL: Chicago Midway International (MDW)
"ORD", Chicago, IL: Chicago O'Hare International (ORD)
"CIC", Chico, CA: Chico Municipal (CIC)
"STX", Christiansted, VI: Henry E. Rohlsen (STX)
"CVG", Cincinnati, OH: Cincinnati/Northern Kentucky International (CVG)
"CKB", Clarksburg/Fairmont, WV: North Central West Virginia (CKB)
"CLE", Cleveland, OH: Cleveland-Hopkins International (CLE)
"COD", Cody, WY: Yellowstone Regional (COD)
"CDB", Cold Bay, AK: Cold Bay Airport (CDB)
"CLL", College Station/Bryan, TX: Easterwood Field (CLL)
"COS", Colorado Springs, CO: City of Colorado Springs Municipal (COS)
"COU", Columbia, MO: Columbia Regional (COU)
"CAE", Columbia, SC: Columbia Metropolitan (CAE)
"CSG", Columbus, GA: Columbus Airport (CSG)
"CBM", Columbus, MS: Columbus AFB (CBM)
"GTR", Columbus, MS: Golden Triangle Regional (GTR)
"CMH", Columbus, OH: John Glenn Columbus International (CMH)
"LCK", Columbus, OH: Rickenbacker International (LCK)
"CCR", Concord, CA: Buchanan Field (CCR)
"USA", Concord, NC: Concord Padgett Regional (USA)
"CDV", Cordova, AK: Merle K Mudhole Smith (CDV)
"CRP", Corpus Christi, TX: Corpus Christi International (CRP)
"CEC", Crescent City, CA: Jack McNamara Field (CEC)
"DAL", Dallas, TX: Dallas Love Field (DAL)
"DFW", Dallas/Fort Worth, TX: Dallas/Fort Worth International (DFW)
"DAY", Dayton, OH: James M Cox/Dayton International (DAY)
"DAB", Daytona Beach, FL: Daytona Beach International (DAB)
"SCC", Deadhorse, AK: Deadhorse Airport (SCC)
"DEC", Decatur, IL: Decatur Airport (DEC)
"DRT", Del Rio, TX: Del Rio International (DRT)
"DEN", Denver, CO: Denver International (DEN)
"DSM", Des Moines, IA: Des Moines International (DSM)
"DET", Detroit, MI: Coleman A. Young Municipal (DET)
"DTW", Detroit, MI: Detroit Metro Wayne County (DTW)
"DVL", Devils Lake, ND: Devils Lake Regional (DVL)
"DIK", Dickinson, ND: Dickinson - Theodore Roosevelt Regional (DIK)
"DLG", Dillingham, AK: Dillingham Airport (DLG)
"DDC", Dodge City, KS: Dodge City Regional (DDC)
"DHN", Dothan, AL: Dothan Regional (DHN)
"DBQ", Dubuque, IA: Dubuque Regional (DBQ)
"DLH", Duluth, MN: Duluth International (DLH)
"DRO", Durango, CO: Durango La Plata County (DRO)
"EGE", Eagle, CO: Eagle County Regional (EGE)
"EAU", Eau Claire, WI: Chippewa Valley Regional (EAU)
"IPL", El Centro, CA: Imperial County (IPL)
"ELP", El Paso, TX: El Paso International (ELP)
"EKO", Elko, NV: Elko Regional (EKO)
"ELM", Elmira/Corning, NY: Elmira/Corning Regional (ELM)
"ERI", Erie, PA: Erie International/Tom Ridge Field (ERI)
"ESC", Escanaba, MI: Delta County (ESC)
"EUG", Eugene, OR: Mahlon Sweet Field (EUG)
"EVV", Evansville, IN: Evansville Regional (EVV)
"PAE", Everett, WA: Snohomish County (PAE)
"FAI", Fairbanks, AK: Fairbanks International (FAI)
"FAR", Fargo, ND: Hector International (FAR)
"FMN", Farmington, NM: Four Corners Regional (FMN)
"XNA", Fayetteville, AR: Northwest Arkansas Regional (XNA)
"FAY", Fayetteville, NC: Fayetteville Regional/Grannis Field (FAY)
"FLG", Flagstaff, AZ: Flagstaff Pulliam (FLG)
"FNT", Flint, MI: Bishop International (FNT)
"FLO", Florence, SC: Florence Regional (FLO)
"FNL", Fort Collins/Loveland, CO: Northern Colorado Regional (FNL)
"FLL", Fort Lauderdale, FL: Fort Lauderdale-Hollywood International (FLL)
"RSW", Fort Myers, FL: Southwest Florida International (RSW)
"FSM", Fort Smith, AR: Fort Smith Regional (FSM)
"FWA", Fort Wayne, IN: Fort Wayne International (FWA)
"FAT", Fresno, CA: Fresno Yosemite International (FAT)
"GNV", Gainesville, FL: Gainesville Regional (GNV)
"GCK", Garden City, KS: Garden City Regional (GCK)
"GCC", Gillette, WY: Gillette Campbell County (GCC)
"GCN", Grand Canyon, AZ: Grand Canyon National Park (GCN)
"GFK", Grand Forks, ND: Grand Forks International (GFK)
"GRI", Grand Island, NE: Central Nebraska Regional (GRI)
"GJT", Grand Junction, CO: Grand Junction Regional (GJT)
"GRR", Grand Rapids, MI: Gerald R. Ford International (GRR)
"GTF", Great Falls, MT: Great Falls International (GTF)
"GRB", Green Bay, WI: Green Bay Austin Straubel International (GRB)
"GSO", Greensboro/High Point, NC: Piedmont Triad International (GSO)
"GLH", Greenville, MS: Greenville Mid Delta (GLH)
"PGV", Greenville, NC: Pitt Greenville (PGV)
"GSP", Greer, SC: Greenville-Spartanburg International (GSP)
"GUM", Guam, TT: Guam International (GUM)
"GPT", Gulfport/Biloxi, MS: Gulfport-Biloxi International (GPT)
"GUC", Gunnison, CO: Gunnison-Crested Butte Regional (GUC)
"GST", Gustavus, AK: Gustavus Airport (GST)
"HGR", Hagerstown, MD: Hagerstown Regional-Richard A. Henson Field (HGR)
"CMX", Hancock/Houghton, MI: Houghton County Memorial (CMX)
"HRL", Harlingen/San Benito, TX: Valley International (HRL)
"MDT", Harrisburg, PA: Harrisburg International (MDT)
"BDL", Hartford, CT: Bradley International (BDL)
"PIB", Hattiesburg/Laurel, MS: Hattiesburg-Laurel Regional (PIB)
"HDN", Hayden, CO: Yampa Valley (HDN)
"HYS", Hays, KS: Hays Regional (HYS)
"HLN", Helena, MT: Helena Regional (HLN)
"HIB", Hibbing, MN: Range Regional (HIB)
"HKY", Hickory, NC: Hickory Regional (HKY)
"ITO", Hilo, HI: Hilo International (ITO)
"HHH", Hilton Head, SC: Hilton Head Airport (HHH)
"HOB", Hobbs, NM: Lea County Regional (HOB)
"HNL", Honolulu, HI: Daniel K Inouye International (HNL)
"MKK", Hoolehua, HI: Molokai (MKK)
"EFD", Houston, TX: Ellington (EFD)
"IAH", Houston, TX: George Bush Intercontinental/Houston (IAH)
"HOU", Houston, TX: William P Hobby (HOU)
"HSV", Huntsville, AL: Huntsville International-Carl T Jones Field (HSV)
"HYA", Hyannis, MA: Barnstable Municipal-Boardman/Polando Field (HYA)
"IDA", Idaho Falls, ID: Idaho Falls Regional (IDA)
"IND", Indianapolis, IN: Indianapolis International (IND)
"INL", International Falls, MN: Falls International Einarson Field (INL)
"IYK", Inyokern, CA: Inyokern Airport (IYK)
"IMT", Iron Mountain/Kingsfd, MI: Ford (IMT)
"ISP", Islip, NY: Long Island MacArthur (ISP)
"ITH", Ithaca/Cortland, NY: Ithaca Tompkins Regional (ITH)
"JAC", Jackson, WY: Jackson Hole (JAC)
"JAN", Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International (JAN)
"JAX", Jacksonville, FL: Jacksonville International (JAX)
"OAJ", Jacksonville/Camp Lejeune, NC: Albert J Ellis (OAJ)
"JMS", Jamestown, ND: Jamestown Regional (JMS)
"JLN", Joplin, MO: Joplin Regional (JLN)
"JNU", Juneau, AK: Juneau International (JNU)
"OGG", Kahului, HI: Kahului Airport (OGG)
"AZO", Kalamazoo, MI: Kalamazoo/Battle Creek International (AZO)
"FCA", Kalispell, MT: Glacier Park International (FCA)
"MKC", Kansas City, MO: Charles B. Wheeler Downtown (MKC)
"MCI", Kansas City, MO: Kansas City International (MCI)
"EAR", Kearney, NE: Kearney Regional (EAR)
"KTN", Ketchikan, AK: Ketchikan International (KTN)
"EYW", Key West, FL: Key West International (EYW)
"GRK", Killeen, TX: Robert Gray AAF (GRK)
"ILE", Killeen, TX: Skylark Field (ILE)
"AKN", King Salmon, AK: King Salmon Airport (AKN)
"ISO", Kinston, NC: Kinston Regional Jetport at Stallings Field (ISO)
"LMT", Klamath Falls, OR: Crater Lake Klamath Regional (LMT)
"TYS", Knoxville, TN: McGhee Tyson (TYS)
"ADQ", Kodiak, AK: Kodiak Airport (ADQ)
"KOA", Kona, HI: Ellison Onizuka Kona International at Keahole (KOA)
"ROR", Koror, Palau: Babelthuap (ROR)
"OTZ", Kotzebue, AK: Ralph Wien Memorial (OTZ)
"LSE", La Crosse, WI: La Crosse Regional (LSE)
"LFT", Lafayette, LA: Lafayette Regional Paul Fournet Field (LFT)
"LCH", Lake Charles, LA: Lake Charles Regional (LCH)
"TVL", Lake Tahoe, CA: Lake Tahoe Airport (TVL)
"LNY", Lanai, HI: Lanai Airport (LNY)
"LAN", Lansing, MI: Capital Region International (LAN)
"LAR", Laramie, WY: Laramie Regional (LAR)
"LRD", Laredo, TX: Laredo International (LRD)
"LAS", Las Vegas, NV: McCarran International (LAS)
"LBE", Latrobe, PA: Arnold Palmer Regional (LBE)
"LAW", Lawton/Fort Sill, OK: Lawton-Fort Sill Regional (LAW)
"LWB", Lewisburg, WV: Greenbrier Valley (LWB)
"LWS", Lewiston, ID: Lewiston Nez Perce County (LWS)
"LEX", Lexington, KY: Blue Grass (LEX)
"LBL", Liberal, KS: Liberal Mid-America Regional (LBL)
"LIH", Lihue, HI: Lihue Airport (LIH)
"LNK", Lincoln, NE: Lincoln Airport (LNK)
"LIT", Little Rock, AR: Bill and Hillary Clinton Nat Adams Field (LIT)
"LGB", Long Beach, CA: Long Beach Airport (LGB)
"GGG", Longview, TX: East Texas Regional (GGG)
"LAX", Los Angeles, CA: Los Angeles International (LAX)
"SDF", Louisville, KY: Louisville Muhammad Ali International (SDF)
"LBB", Lubbock, TX: Lubbock Preston Smith International (LBB)
"LYH", Lynchburg, VA: Lynchburg Regional/Preston Glenn Field (LYH)
"MCN", Macon, GA: Middle Georgia Regional (MCN)
"MSN", Madison, WI: Dane County Regional-Truax Field (MSN)
"MMH", Mammoth Lakes, CA: Mammoth Lakes Airport (MMH)
"MHT", Manchester, NH: Manchester-Boston Regional (MHT)
"MHK", Manhattan/Ft. Riley, KS: Manhattan Regional (MHK)
"MTH", Marathon, FL: The Florida Keys Marathon International (MTH)
"MQT", Marquette, MI: Sawyer International (MQT)
"MVY", Martha's Vineyard, MA: Martha's Vineyard Airport (MVY)
"MAZ", Mayaguez, PR: Eugenio Maria de Hostos (MAZ)
"MFR", Medford, OR: Rogue Valley International - Medford (MFR)
"MLB", Melbourne, FL: Melbourne International (MLB)
"MEM", Memphis, TN: Memphis International (MEM)
"MEI", Meridian, MS: Key Field (MEI)
"MIA", Miami, FL: Miami International (MIA)
"MAF", Midland/Odessa, TX: Midland International Air and Space Port (MAF)
"MKE", Milwaukee, WI: General Mitchell International (MKE)
"MSP", Minneapolis, MN: Minneapolis-St Paul International (MSP)
"MIB", Minot, ND: Minot AFB (MIB)
"MOT", Minot, ND: Minot International (MOT)
"MFE", Mission/McAllen/Edinburg, TX: McAllen Miller International (MFE)
"MSO", Missoula, MT: Missoula International (MSO)
"CNY", Moab, UT: Canyonlands Field (CNY)
"BFM", Mobile, AL: Mobile Downtown (BFM)
"MOB", Mobile, AL: Mobile Regional (MOB)
"MOD", Modesto, CA: Modesto City-County-Harry Sham Field (MOD)
"MLI", Moline, IL: Quad City International (MLI)
"MLU", Monroe, LA: Monroe Regional (MLU)
"MRY", Monterey, CA: Monterey Regional (MRY)
"MGM", Montgomery, AL: Montgomery Regional (MGM)
"MTJ", Montrose/Delta, CO: Montrose Regional (MTJ)
"MWH", Moses Lake, WA: Grant County International (MWH)
"CWA", Mosinee, WI: Central Wisconsin (CWA)
"MKG", Muskegon, MI: Muskegon County (MKG)
"MYR", Myrtle Beach, SC: Myrtle Beach International (MYR)
"ACK", Nantucket, MA: Nantucket Memorial (ACK)
"APF", Naples, FL: Naples Municipal (APF)
"BNA", Nashville, TN: Nashville International (BNA)
"EWN", New Bern/Morehead/Beaufort, NC: Coastal Carolina Regional (EWN)
"HVN", New Haven, CT: Tweed New Haven (HVN)
"MSY", New Orleans, LA: Louis Armstrong New Orleans International (MSY)
"JFK", New York, NY: John F. Kennedy International (JFK)
"LGA", New York, NY: LaGuardia (LGA)
"EWR", Newark, NJ: Newark Liberty International (EWR)
"SWF", Newburgh/Poughkeepsie, NY: New York Stewart International (SWF)
"PHF", Newport News/Williamsburg, VA: Newport News/Williamsburg International (PHF)
"IAG", Niagara Falls, NY: Niagara Falls International (IAG)
"OME", Nome, AK: Nome Airport (OME)
"ORF", Norfolk, VA: Norfolk International (ORF)
"OTH", North Bend/Coos Bay, OR: Southwest Oregon Regional (OTH)
"LBF", North Platte, NE: North Platte Regional Airport Lee Bird Field (LBF)
"OAK", Oakland, CA: Metropolitan Oakland International (OAK)
"OGD", Ogden, UT: Ogden-Hinckley (OGD)
"OGS", Ogdensburg, NY: Ogdensburg International (OGS)
"OKC", Oklahoma City, OK: Will Rogers World (OKC)
"OMA", Omaha, NE: Eppley Airfield (OMA)
"ONT", Ontario, CA: Ontario International (ONT)
"MCO", Orlando, FL: Orlando International (MCO)
"OWB", Owensboro, KY: Owensboro Daviess County Regional (OWB)
"OXR", Oxnard/Ventura, CA: Oxnard (OXR)
"PAH", Paducah, KY: Barkley Regional (PAH)
"PPG", Pago Pago, TT: Pago Pago International (PPG)
"PSP", Palm Springs, CA: Palm Springs International (PSP)
"PMD", Palmdale, CA: Palmdale USAF Plant 42 (PMD)
"PFN", Panama City, FL: Bay County (PFN)
"ECP", Panama City, FL: Northwest Florida Beaches International (ECP)
"PSC", Pasco/Kennewick/Richland, WA: Tri Cities (PSC)
"PLN", Pellston, MI: Pellston Regional Airport of Emmet County (PLN)
"PNS", Pensacola, FL: Pensacola International (PNS)
"PIA", Peoria, IL: General Downing - Peoria International (PIA)
"PSG", Petersburg, AK: Petersburg James A Johnson (PSG)
"PHL", Philadelphia, PA: Philadelphia International (PHL)
"AZA", Phoenix, AZ: Phoenix - Mesa Gateway (AZA)
"PHX", Phoenix, AZ: Phoenix Sky Harbor International (PHX)
"PIR", Pierre, SD: Pierre Regional (PIR)
"SOP", Pinehurst/Southern Pines, NC: Moore County (SOP)
"PIT", Pittsburgh, PA: Pittsburgh International (PIT)
"PBG", Plattsburgh, NY: Plattsburgh International (PBG)
"PIH", Pocatello, ID: Pocatello Regional (PIH)
"PSE", Ponce, PR: Mercedita (PSE)
"PWM", Portland, ME: Portland International Jetport (PWM)
"PDX", Portland, OR: Portland International (PDX)
"PSM", Portsmouth, NH: Portsmouth International at Pease (PSM)
"PRC", Prescott, AZ: Prescott Regional Ernest A Love Field (PRC)
"PVD", Providence, RI: Theodore Francis Green State (PVD)
"PVU", Provo, UT: Provo Municipal (PVU)
"PUB", Pueblo, CO: Pueblo Memorial (PUB)
"PGD", Punta Gorda, FL: Punta Gorda Airport (PGD)
"UIN", Quincy, IL: Quincy Regional-Baldwin Field (UIN)
"RDU", Raleigh/Durham, NC: Raleigh-Durham International (RDU)
"RCA", Rapid City, SD: Ellsworth AFB (RCA)
"RAP", Rapid City, SD: Rapid City Regional (RAP)
"RDR", Red River, ND: Grand Forks AFB (RDR)
"RDD", Redding, CA: Redding Municipal (RDD)
"RNO", Reno, NV: Reno/Tahoe International (RNO)
"RHI", Rhinelander, WI: Rhinelander/Oneida County (RHI)
"RIC", Richmond, VA: Richmond International (RIC)
"RIW", Riverton/Lander, WY: Riverton Regional (RIW)
"ROA", Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field (ROA)
"RST", Rochester, MN: Rochester International (RST)
"ROC", Rochester, NY: Greater Rochester International (ROC)
"RKS", Rock Springs, WY: Southwest Wyoming Regional (RKS)
"RFD", Rockford, IL: Chicago/Rockford International (RFD)
"ROW", Roswell, NM: Roswell International Air Center (ROW)
"ROP", Rota, TT: Benjamin Taisacan Manglona International (ROP)
"SMF", Sacramento, CA: Sacramento International (SMF)
"MBS", Saginaw/Bay City/Midland, MI: MBS International (MBS)
"SPN", Saipan, TT: Francisco C. Ada Saipan International (SPN)
"SLE", Salem, OR: McNary Field (SLE)
"SLN", Salina, KS: Salina Regional (SLN)
"SLC", Salt Lake City, UT: Salt Lake City International (SLC)
"SJT", San Angelo, TX: San Angelo Regional/Mathis Field (SJT)
"SAT", San Antonio, TX: San Antonio International (SAT)
"SAN", San Diego, CA: San Diego International (SAN)
"SFO", San Francisco, CA: San Francisco International (SFO)
"SJC", San Jose, CA: Norman Y. Mineta San Jose International (SJC)
"SJU", San Juan, PR: Luis Munoz Marin International (SJU)
"SBP", San Luis Obispo, CA: San Luis County Regional (SBP)
"SFB", Sanford, FL: Orlando Sanford International (SFB)
"SNA", Santa Ana, CA: John Wayne Airport-Orange County (SNA)
"SBA", Santa Barbara, CA: Santa Barbara Municipal (SBA)
"SAF", Santa Fe, NM: Santa Fe Municipal (SAF)
"SMX", Santa Maria, CA: Santa Maria Public/Capt. G. Allan Hancock Field (SMX)
"STS", Santa Rosa, CA: Charles M. Schulz - Sonoma County (STS)
"SRQ", Sarasota/Bradenton, FL: Sarasota/Bradenton International (SRQ)
"CIU", Sault Ste. Marie, MI: Chippewa County International (CIU)
"SAV", Savannah, GA: Savannah/Hilton Head International (SAV)
"BFF", Scottsbluff, NE: Western Neb. Regional/William B. Heilig Field (BFF)
"AVP", Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International (AVP)
"BFI", Seattle, WA: Boeing Field/King County International (BFI)
"SEA", Seattle, WA: Seattle/Tacoma International (SEA)
"SHR", Sheridan, WY: Sheridan County (SHR)
"SHV", Shreveport, LA: Shreveport Regional (SHV)
"SUX", Sioux City, IA: Sioux Gateway Brig Gen Bud Day Field (SUX)
"FSD", Sioux Falls, SD: Joe Foss Field (FSD)
"SIT", Sitka, AK: Sitka Rocky Gutierrez (SIT)
"SBN", South Bend, IN: South Bend International (SBN)
"SKA", Spokane, WA: Fairchild AFB (SKA)
"GEG", Spokane, WA: Spokane International (GEG)
"SPI", Springfield, IL: Abraham Lincoln Capital (SPI)
"SGF", Springfield, MO: Springfield-Branson National (SGF)
"UST", St. Augustine, FL: Northeast Florida Regional (UST)
"STC", St. Cloud, MN: St. Cloud Regional (STC)
"SGU", St. George, UT: St George Regional (SGU)
"STL", St. Louis, MO: St Louis Lambert International (STL)
"KSM", St. Mary's, AK: St. Mary's Airport (KSM)
"PIE", St. Petersburg, FL: St Pete Clearwater International (PIE)
"SCE", State College, PA: University Park (SCE)
"SHD", Staunton, VA: Shenandoah Valley Regional (SHD)
"SWO", Stillwater, OK: Stillwater Regional (SWO)
"SCK", Stockton, CA: Stockton Metropolitan (SCK)
"SUN", Sun Valley/Hailey/Ketchum, ID: Friedman Memorial (SUN)
"SYR", Syracuse, NY: Syracuse Hancock International (SYR)
"TLH", Tallahassee, FL: Tallahassee International (TLH)
"TPA", Tampa, FL: Tampa International (TPA)
"TEX", Telluride, CO: Telluride Regional (TEX)
"TXK", Texarkana, AR: Texarkana Regional-Webb Field (TXK)
"TKI", Tokeen, AK: Tokeen Airport (TKI)
"TOL", Toledo, OH: Toledo Express (TOL)
"FOE", Topeka, KS: Topeka Regional (FOE)
"TVC", Traverse City, MI: Cherry Capital (TVC)
"TTN", Trenton, NJ: Trenton Mercer (TTN)
"TUS", Tucson, AZ: Tucson International (TUS)
"TUL", Tulsa, OK: Tulsa International (TUL)
"UTM", Tunica, MS: Tunica Municipal (UTM)
"TUP", Tupelo, MS: Tupelo Regional (TUP)
"TWF", Twin Falls, ID: Joslin Field - Magic Valley Regional (TWF)
"TYR", Tyler, TX: Tyler Pounds Regional (TYR)
"DUT", Unalaska, AK: Unalaska Airport (DUT)
"UCA", Utica/Rome, NY: Oneida County (UCA)
"VLD", Valdosta, GA: Valdosta Regional (VLD)
"VPS", Valparaiso, FL: Eglin AFB Destin Fort Walton Beach (VPS)
"VEL", Vernal, UT: Vernal Regional (VEL)
"VCT", Victoria, TX: Victoria Regional (VCT)
"VIS", Visalia, CA: Visalia Municipal (VIS)
"ACT", Waco, TX: Waco Regional (ACT)
"DCA", Washington, DC: Ronald Reagan Washington National (DCA)
"IAD", Washington, DC: Washington Dulles International (IAD)
"ALO", Waterloo, IA: Waterloo Regional (ALO)
"ART", Watertown, NY: Watertown International (ART)
"ATY", Watertown, SD: Watertown Regional (ATY)
"ENV", Wendover, UT: Wendover Airport (ENV)
"PBI", West Palm Beach/Palm Beach, FL: Palm Beach International (PBI)
"WYS", West Yellowstone, MT: Yellowstone (WYS)
"HPN", White Plains, NY: Westchester County (HPN)
"SPS", Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal (SPS)
"ICT", Wichita, KS: Wichita Dwight D Eisenhower National (ICT)
"ISN", Williston, ND: Sloulin Field International (ISN)
"XWA", Williston, ND: Williston Basin International (XWA)
"ILG", Wilmington, DE: New Castle (ILG)
"ILM", Wilmington, NC: Wilmington International (ILM)
"ORH", Worcester, MA: Worcester Regional (ORH)
"WRG", Wrangell, AK: Wrangell Airport (WRG)
"YKM", Yakima, WA: Yakima Air Terminal/McAllister Field (YKM)
"YAK", Yakutat, AK: Yakutat Airport (YAK)
"YAP", Yap, Federated States of Micronesia: Yap International (YAP)
"YNG", Youngstown/Warren, OH: Youngstown-Warren Regional (YNG)
"YUM", Yuma, AZ: Yuma MCAS/Yuma International (YUM)
